Año,Mes.n,UID_ENTRADA_CAMION.x,UID_PRODUCTOR.x,ENT_PESO_NETO.x,UID_PROVEEDOR.x,DLI_HUMEDAD.x,DLI_CENIZAS.x,DLI_CENIZASMASHUMEDAD.x,DLI_KILOCALORIAS.x,DLI_PESO_A_PAGAR.x,DLI_MEGACALORIAS.x,DLI_VALOR_TOTAL.x,DLI_REGALIAS.x,DLI_PRECIO_BASE.x,dia.x,ID,Lider.Generacion,Interventoria,Viajes,Kilos,Contratado,Pagado,ONI,IPC,Variacion.Mensual....,Produccion.nacional,Minería,Industria,Oferta.Interna,Minería.1,Industria.1,Producidos.para.Consumo.Interno,Importados,Exportados,Miles.de.Dólares.FOB,Toneladas.Métricas,Miles.de.Dólares.FOB.1,Toneladas.Métricas.1,Miles.de.Dólares.FOB.2,Toneladas.Métricas.2,Unión.Europea,Canadá..NAFTA.,Estados.Unidos..NAFTA.,México..NAFTA.,China,Japón,India,LIBOR,Promedio.mes
2008,11,1460.1765,185.2941,14911.76,118.2353,7.617059,18.914706,26.53176,5749.236471,14.475282,82605.55,907719.7,47001.88,69464.71,8,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,976.4444,240.4242,15207.78,117.1818,8.133535,17.542222,25.67576,5916.364343,14.725041,87312.45,958503.2,47934.92,69264.65,14,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,73.5,269.5526,16215.53,115.9211,3.715789,13.818421,17.53421,6607.736842,16.348363,108120.15,1201335,51111.34,70000,15,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1479.3077,192.3846,12443.08,124.8462,10.939231,15.216154,26.15538,5624.476154,11.150662,63405.14,704501.6,39220.58,70000,16,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1031.9083,219.4404,16862.29,119.9174,7.64367,15.828624,23.47229,5990.94367,16.499227,99064.91,1088908.7,53149.95,69332.11,18,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1167.528,215.544,16734.8,118.48,8.24368,15.51608,23.75976,5937.58768,16.484123,98104.27,1080060.9,52748.09,69344.8,19,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1238.1616,184.6162,15638.59,122.5354,8.972323,16.662828,25.63515,5767.833636,15.2621,87829.32,971706.1,49292.82,69770.2,24,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1295.2033,209.7154,16952.36,119.8211,8.888537,16.472276,25.36081,5811.317967,15.809527,91642.09,1008838.4,53433.83,69445.12,21,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1299.3333,192.1545,17889.35,122.122,8.595772,16.610407,25.20618,5836.187236,17.325264,100174.87,1105412.8,56387.23,69578.05,22,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1513.5714,177.3571,16348.93,124.4643,10.926071,18.804286,29.73036,5375.396071,14.283593,77072.05,856356.1,51531.82,70000,23,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
